Situation,grouped_emotion,empathetic_dialogues,labels,new_label_withoutemotion_single,new_label_withoutemotion_whole,new_label_withemotion,new_label_withcontext
The time my friend made the hockey team. He worked so hard.,impressed,"It's his first time trying yes, junior hockey./","Wow how exciting, has he been practicing a lot? ", I am sure you and is a little jealous! , I am sure you will be! , That is good that you had a good time , Oh really? I am sure you will have to go back with you. 
My friend helped me move last summer,grateful,That is a very nice friend. Moving is hard work.,yea i was very happy he helped me, It was a good day to be grateful to have someone in your life ," Yeah, it is very tough.  I have to wait until the past year. ", I really am. It is a great feeling to have. , I'm so sorry. 
My old neighbors were so nice. I gave them my wifi password.,disgusted,Was there any reason why?,They wer really nice and trustworthy. I even let them use my wifi password., I am not sure I am going to go to the doctor this year. , I was so angry that I had to go to work , I was going to get a party for my friend. , I did. I just got a lot of money. I just got a lot of money. 
All the family members of my house left to visit grandparents. No one is home with me.,disappointed,I had work and couldn't get the time off. Now it's just me and the four walls.,Or it could be you and a dope house party," Well, I'm so sorry. I hope you can find something else to take it to just to get it fixed. ", I don't think that's my fault.  I have never been on a math test. ," I see. I'm glad you got a refund, but I'm glad you're ok. ", Thats the worst. I hope that you can get it. 
"i stole some money from my brother and he realized it was gone, but i haven't said anything. I think I should.",disgusted,"i stole some money from my brother and he realized it was gone, but i haven't said anything. I think I should",Yeah it might be a good idea to tell him. But you may want to have the money to give back to him first. , I hate it when my dad passed away. , i hope so too. , I would just say it! , I hope you have a good time. 
"I saw some family members today, and it felt good to seem them after so long.",impressed,"I got to see some family members that I haven't seen in a while, so I feel pretty good.",What did you do with them?, That is good to hear.  How did it make you feel? ,, I can imagine. I hope you find a good friend to have a good time with them! ," Yeah, I just got back from a lot of time. "
i was fully prepared for my interview last week,prepared,yes i did get the job!,Congrats!!, I hope you will get it. , yes i did but i did get a promotion ," I hope it is a good job, but I think it will be hard to do something better. ", I bet you were so excited! 
I made brilliant pizza the other day,impressed,I made a great pizza the other day,what was on it, Oh that's good! What kind of pizza? ,, I bet.  I love pizza.  What do you do? , Nice! What kind of pizza is it? 
There is a big storm approaching.  I am so ready for it.,prepared,sounds scary,I am so ready for it!," Yeah, it's always a bit scary, but I am going to kill it.  "," I know, I just have a hard time getting worse. ", Yes I am. I am so scared to death. , I'm so sorry to hear that. 
I am so happy.  I start my new job this week,excited,"That's great, what job is it?",I am going to be a birthday clown., It's a manager job , a job offer , It's a job in the middle of an interview. , I am looking forward to it. 
My cat recently died. I had her since I was 5 years old. She was 23. I feel so lost and lonely without her.,disappointed,:( I am so sorry to hear that... how old was she?,She was 23 years old. I got her when I was 5., a bearded dragon , She was 2 years old.  I hope she gets better soon. , She was 18 years old. , She is 2 and 18 and 18 months old. She was just so sweet 
I cried the night I found out my best friend died.,disappointed,I'm so sorry to hear that. How long ago was this?,This was a few months ago.," a girl she was a girl, i was upset about it "," I did, I was so mad. I was so mad that I had to get the job. ", It was a long time ago. I am so sorry for your loss. , It was my birthday. I was so excited about it. 
I won tickets to see my favorite band in concert!,excited,"That's freakin awesome! I never win anything, go you! What band is it?","It's a band called Say Anything, I've been a fan of theirs since 2006! ", It's a guitar? ," It's about the band Mario crust and white, it's green from the ER, I've been so mad that I put in a looked for a fat table. "," It's a t-shirt, but it's made me feel very proud of myself. ", I can't wait to watch some movies and watch. I am so looking forward to it. 
Getting a colonoscopy done.  I hope it turns out okay,grateful,Not too bad.  Getting a colonoscopy done.  I hope it's going to be okay.,Oh that's a standard prcedure. Have you ever had one?, I am sure you will do great! , I am going to miss a lot of work , I'm glad I'm with her being around. ," That is the weather, I am so sad. "
I am looking forward to tomorrow. We are going kayaking,,"Yeah, it should be really fun",Have you been before? It seems like such a great way to both play and get a workout , I bet you will be a bit jealous.  ," Yeah, it is. I hope I do well. ", I am so happy I am going to go to the park and get a new place. , I'm glad you were able to get the same choice. 
I went to the mall by myself again.  I hate being by myself.,disappointed,Yeah - did you have a good time?,"No, I hate being by myself.", That's a great accomplishment! I have a great husband and family. ," I did, I was so happy and happy to be back. ", Yes! I was quite nervous about it. I didn't think I was going to take a chance to get a refund. ," I did, but I was so happy to see them. "
"There was a situation where I might of hurt my freinds feelings, I ate from my friends fridge and he had no more food left that day. He had to go to bed with no food. Hungry.",disgusted,"Thanks man, at the heat of the moment I ate due to my flashbacks I was traumised.",I could see that happening but sounds like you were super brave., I would be too! ,," I was too scared to go to the park, but it was a bit scary. "," I would have fun,   "
One of my friends really loves to play devil's advocate. It really makes me mad sometimes.,annoyed,yea i know that tilts me so hard,He's quite the piece of garbage., I hope you do. ,, That's good.  I hope it goes well for you! , I know it is. I can't wait to see how it goes. 
It's tough to find good online work. I have bills to pay and it's really eating me up. ,annoyed,"Man, it's not easy finding good online work.",Tell me about it. How long have you been job hunting for?, I think I will get it for the rest of the day. ," I agree, I'm sure you will do well. ", I was shocked when I was in all day. , I am sorry to hear that.  I hope you feel better soon. 
"For some reason, when I hear the song ""Walking In Memphis"" I picture happy moments of my childhood in Hong Kong watching ""Sesame Street"" with my mom, picnics on the beach, and stuffed animals; my parents must have played that song a lot back then",disappointed,"When I hear the song ""Walking In Memphis"" I'm whisked back to vivid memories of watching ""Sesame Street"" with my mom in our Hong Kong apartment, fun picnics on the beach, and stuffed animals in my room...guessing they must have played that song a lot back then",That is such a beautiful memory to have. I love that we forever have moments like this... How cool Hong Kong! , I would love to remember that movie! , It is a guitar game. I love the game. , I used to go to the ball at a grocery store and saw it was not so expensive! , I was with my cousins and had a lot of memories. I was amazed by all the eyes of the childhood memories. 
"A while ago, I was riding in the car with my uncle at night to get some food. He had a few drinks earlier and we ended up getting pulled over.",,What happened? Did you uncle drove over the speed limit?,"I think he was slightly over the limit but he had a few drinks earlier, so I felt a bit uncomfortable.", I did. I was so mad. , I was really upset.  I had a good experience.  It was just a good time to have a great time. , I did not know it was my fault. , I was on the way to work. She was just going to be able to help me out. 
I remember chasing the ice cream truck when I was little. The ice cream is too high now,disappointed,how awesome. it's fun to remember the good old days,IT is. ," It is, it was fun. I was happy to see it. ", It's great. I was so thankful for the joy! , It's good to see how it is.  I am so happy for you! ," It was a great time, I had to go to school for a while. "
I was kind of bothered when I got passed over for a promotion. ,annoyed,I was pretty disappointed when I found out I was passed over for a job,OH that sucks., I'm sorry. I am sorry you are going to hear that. ," Yeah, I was so sad that we were able to make a part of the day. "," Oh no, that is so sad. I hope you had to go to the doctor ", That is so sweet! I bet you were very prepared.  
I found an old photograph of me in my grade school days and it made me smile.,disappointed,I found some old photographs and began to remember the old grade school days.,thats wonderful, That's great! Did he go to college? , Yeah I'm very proud of you.  I'm very proud of myself.  I am so proud of myself. , I remember. I'm still really glad you had to go through that. , that was a nice time 
I get really nervous when I have to confront someone and be assertive.,afraid,"Whenever I have to be assertive or confront someone, I get super nervous.","I've had that feeling as well, especially if it is with someone that is close to me.  Is it because you dont like confrontation or a different reason?", I think you'll do well. I hope you do well. ," I do not think so, I am so nervous. I feel like I will be ready for the results. ", I'm so glad you got it! , That is really bad.  
"I took my dress to a seamstress for alteration, i was given a date to pick it up and it was not ready.",prepared,I hope they at least gave you your money back.,No they did not. And it is going to cost too much to take them to court. ," Yeah, I was so embarrassed! I was so embarrassed at the time. ", I hope so. I'm glad they didn't go out on vacation. , I'm glad you get it. I'm glad you're able to find a good home. ," I did, but I really can't wait to see it. "
I knew my friend would be there for me over the weekend. I needed it,grateful,It was a good feeling,thats good!, That's good. It's always nice to have someone that can help you talk to. , I am so happy for you! ," Yeah, it was really good. ", I bet! I love being able to stay home with my family and family. 
i just hate when people drive slow in the left lane,annoyed,"people need to move over to the right lane, i hate when they go slow in the left",That is so true! , Oh that's so sad. I hope they get it soon. , I'm sorry. I hope you have some good memories of your emotions. , I think they are the one. , That's really nice. 
"I have been training for this track meet next week to qualify for the 2020 olympic trials. 15 years of hard work and determination, waking up every morning with one goal.",prepared,"Have you ever worked so hard, years for one moment that define the rest of your life?","I sort of have. I worked like crazy to get a work visa for the US, so I could be with the person I wanted to spend my life with. It paid off, so I can kind of understand what you're saying.", I'm sure you will get it. ," I like it!  I can't wait to be a new job, but I can't believe it!  I am so excited to see them. "," I was, but I am not sure if I will be able to do it. ", I am so happy for you 
"Yesterday I had my final Physics exam and I think I nailed it, due to studying so hard.",prepared,"Yeah, me too. Hopefully just as well as you did on yours. I really struggle with mathematics.",It sounds like you did great. Studying is the biggest part really., I hope you get it! Good luck! ," Yeah, I think I am going to have a few years. It's a tough time. ", I show? , I am sorry. 
My wife brought home some leftovers. I ate them when she took a nap,disgusted,I was and i do! it was from her favorite place,Don't tell her right after she awakes up. Women are never in the best mood right after waking up., That's great! I bet that was fun. , I am hoping to be the first time I have to do it. , That's awesome.  I bet you were so happy! , Oh no!  I hope you find one soon! 
I made the mistake of going onto a risque website one time. I saw some grotesque stuff that really grossed me out and I never went on there again.,disgusted,Yeah trust me you don't wanna go on there unless you are really morbidly curious.,Maybe., I would be mad at the movies! , I know. I'm going to do well this. , I have heard about it. Maybe you can get over it. , I feel like I have to go through it. I feel like it is not like it and I am still trying to get it. 
I started a new school and did not know anyone in my class,disappointed,a better school?,"They thought it was a better school, and it probably was, but I didn't feel like it was at the time", I don't know. I am so excited. , I think so. I hope you get it. , I'm not sure. But I'm not sure if I'm going to go to the doctor and I'm sure it will be hard. , I am so excited to see the football match. 
I am going on a cruise in November. I've been planning this trip for six months.,prepared,Quite. I've been planning it for months now.,That's great. I hope you have a wonderful time., That's great.  I am sure you will do well! , I hope so too! , That's very nice of her. What are you going to do? , I'm sorry to hear that.  I'm sure that you are going to be happy. 
"I had tickets to play, but they canceled because the actress got sick.",disappointed,"I had tickets to play, but they canceled because the actress got sick",That is bad. What are you planning to do instead?, That's so sad.  I am so sorry.  I hope you are able to get it fixed. , I am so happy.  I'm really looking forward to it. , That's good.  Did you get a chance to do it? ," Oh no, I'm sorry to hear that. "
My step father died and my mother moved in with my sister.  They took the insurance money and bought a big house.  ,annoyed,Do she at least try to keep in contact with you?,"A little bit bu, they took the insurance money and bought a big house - i mean BIG! I know they needed more room for my mother to move in, but what they bought was way over and above what was needed.", She is a very good friend. She is very caring. , She is a very kind. I'm sure she will be able to find a new one. ," She's in the middle of a time I have a job, and I'm pretty upset right now. "," Yes, she's a good person. "
Two more days and the kids are gone.,,Are you happy or sad about that?,Mostly happy. They have annoyed me greatly all summer, I am so sorry I have to deal with that. , I am not sure. I don't want to have a date like that. ," I am, I am pretty excited.  I am so thankful for him. "," I have two friends, but I am not really happy. I do not like it. "
I learned about Neurofeedback today. I feel somewhat happy about learning about it. Renewed.,impressed,"It helps people who have PTSD, Autism, Bipolar, Depression and anyone with trauma- Brain issues- Its kind of like electro shock but without pain. It helps retrain your brain.","That is really interesting. Still over my head, but you did a decent job of explaining it in layman's terms. I appreciate it. So are you a med student, or what?", I hope you didn't know that. ,," Yea, I got the way home. It was pretty weird to think about it because I was able to help them. But it was a bit embarrassing. ", I am grateful. 
I have felt this way when applying to grad school.,prepared,I am applying to grad school.,Oh wow! Congratulations! I also recently applied for grad school to study Computer Science (seriously). What are you wanting to study?, I hope you'll do well. , I am going to a very successful degree. , That is hard. I bet you will do well. , I bet you are very proud of you. 
"My sister in law has a new house, new range rover, doesn't have to work. She spends all her time shopping and I am jealous. I want that life so sign me up for it.",annoyed,"No she does not have to work, shops all day, two nannies for the kids. She has it all and has to do nothing.",I'm sure that much be hard to stand by and watch as someone who works hard for their things. , I was not a fan but she was not sure that she was just being really good , I know. I feel like that. It's not the worst. I feel like I can't afford to do it. , I can do that. It's hard to see things go out for her. , I'm sorry. 
When my grandmother passed away I destroyed.,disappointed,I am so sorry to hear that!  Don't worry.  I know it is hard but every day will get better.,"It does get better, but it was just so sudden.", I don't know. I have to pay a bunch of money to get a job. , I'm sorry.  I feel so bad for you.  It is hard to be in a relationship. , I'm glad that my friend has no one.  , I know that you will be fine.  
I got cut off in traffic the other day and it made me so angry!,annoyed,People are just crappy drivers everywhere.,"True, driving takes more focus than a lot of people can handle", I think I will. I am going to have a friend myself. ," Yes, it is, they have a terrible thing. ", I am so mad. I hate that when they don't get to leave me. ," I know, I would have been so upset. "
Something smelled really bad at work the other day. We found an old moldy rotting sandwich in a coworkers desk.,disgusted,"Jeez, wonder why they left it there for that long?",I have no idea. We found it after she left. It was really gross. I wonder if her house is that nasty?," I know, but I am thinking it would be so gross. ", They were so mad.  I was so mad.  I was so mad.  I felt so bad. , They are so inconsiderate. I am so mad at myself. , I was thinking about it. I was so mad. 
"A friend of mine had their bathroom remodeled, and it looked so good that I felt quite envious.",annoyed,"Yeah, I just moved into my place last year, and the bathroom is quite outdated. After seeing his though, remodeling it has moved way up my list of things to get done.","That's good, it sounds like his bathroom motivated you to take yours to the next level. That's probably good for society.", Oh I love that feeling. I have been so excited. , I hope so too! I hope I can do some good news. , I had to cancel some of my job and found a new job. , I hope that I hope. 
I found some photos of my father from when he was my age.,disappointed,Thats awesome. Do you look like him?,I do look a little like a somewhat taller version of him.," I do, I have a lot of the best friend in his life. "," Yes, we have been together for 2 years now.  Its always the best time. ", I want to be a teacher.  I am not sure. , I am so happy he won't be gone. He's been going to start school for years. 
"With the way the world has been going, I've been trying to get off the grid as much as possible. I'm investing in solar power and starting my own little farm.",prepared,It's an important tool set to have!,Absolutely! Not to mention gardening saves a ton of money in the long run.," I know, they have issues with the worst people. ", I hope so too. ," I know, I am so envious of him. ", I was so happy. I had a nice car and it was a great time. 
Let my 16 year old brother borrow my car to take his date out.,grateful,"Yea, he was very responsible with it.",That's great! Not too many 16 year olds are that responsible.," I would be the same way, but I hope he is right. ", Yeah he's not a good relationship. I wish I could do that to me. , I am sure he was able to get it! , He was a great friend. He was a great friend. 
I am so mad!  I took my car in to the dealership for an oil change and find out I need new brakes!  They want to charge me $800 for just the rear brakes!,annoyed,"I would like to, but I have a hard time trusting non-dealership mechanics because I have been burned in the past.  It just drives me insane how much everyone charges!",The prices have risen alot with all the technology and electrical components., That's great! I feel you on the way. ," I know. I had a great time with my kids, and I didn't want to go to them. ", That's good. I hope they are home for the right place. , That's a big thing. I hope you find some good friends. 
"There is an old man who always comes in my restaurant for a glass of water and napkins. Todaay i saw what he uses the napkins for. I witnessed him using them like q tips to clean his ears, I wish i hadnt seen it!",disgusted,"there is this guy that always comes in my store, he is an older man, i think he might be homeless. he always asked for napkins and a glass of water",Does he get anything else?," I would be a little sad, but I am so scared of that ", He is a great father.  I'm not sure he will be in a better place now. , That is good to have a friend. , I can understand that 
I let my daughter babysit my youngest daughter for the first time,grateful,I actually felt pretty good about it.  They were only a phone call away and I din't go far.  She did well,Sounds like you have a very responsible young lady growing up., I hope she passed it! ," I know, I feel like I could have done the same thing.  I really hope she gets sick. ", That's great. I'm sure it will be hard to be in a good mood. , I bet so. 
I feel bad I didn't refill my mother's car with gas.,disgusted,I really feel bad I didn't refill my mother's car with gas.,ah you used her. You should have filled. But however she will understand, That's terrible.  Did you confront her about it? , I don't know. I am so sad. I will have to go back to sleep for the weekend. ," Oh, that's so gross. I hope it wasn't hurt. ", I did. I was so angry. 
"My baby has a new tooth coming in, so he was up in the middle of the night last night.  We snuggled til he could go back to sleep.",grateful,That must be very painful for both him and you.,"I gave him some Tylenol, and we ended up snuggling til he could go back to sleep.  "," I know, but I don't have anyone in my life. ", I know. I hope so. I'm a little bummed out. ," Oh no, I am so glad he was able to help. ", I am so sorry to hear that. I hope he is able to find a good job soon. 
"I became very choked up when I opened an old box my dead mother had given me. In the box, I found a hand written note I'd never read before. ",disappointed,Oh no! What was it?,It was a hand written note from my dead mother. I never had read or seen it before. , A variety of countries wasibilified and water. ," It was really good, and I was so glad I could have had it! ", It was a minor injury but I am not sure it would be a lot of a stranger.  , I was so scared. I was so scared. 
i was exposed to lice at work,,"nothing, i had my hair up so hopefully i don't get any","Ouch, I hope you don't either. I'd keep any eye out at work from now on."," I agree, it's not too good, but I don't know what to do. ",, I was really scared to go to the doctor. , I bet it was a nice car. 
While walking in the mall I tripped no a carpet and busted my nose on the floor.,disgusted,"I feel like my ego was hurt more than my nose, but yes, it hurt like hell!",I hope both our ego and your nose heal up quickly!," Well, that's the worst.  I'm sure it was a big deal for them.   ", I am happy for you.  It will be a great feeling. , That is a pretty dangerous way. , I'm glad you did it. 
I was thinking about how life was different in my childhood. I didn't have any worries. I lived life blissfully unaware of any challenges.,disappointed,I hear you there.  I miss getting to just play without a care in the world.  Summer vacations were the best,Yeah I would go off with my friends and have adventures. I miss that so much., I am and I hope you do well. , I love the winter weather. ," I agree, it was a long time.  I am so happy about it. "," I bet that is fun, I hope you guys can enjoy it. "
i loved taking care of my sisters pet the other day,grateful,How fun! What kind of pet is it?,a bearded dragon, It's a bearded dragon! It's been a few years old now ,, It's a bearded dragon as it is my birthday. , She is a bearded dragon 
My friend told me that she has a crush on me.,excited,Do you like her too?,I don't know yet. Kinda need some time to process this., We have been friends for a couple years now.  She is in a way that I love. , I am so happy for her. She is so happy. ," I do, I am so glad I have to get it done. "," Yes, she has been working for a lot of time.  "
"I will finally be getting a new phone soon, and I can't wait because my old one is almost dead.",,"Oh, I know that feeling! I only just got my first decent smartphone this past year!","It feels so good to update/upgrade, doesn't it? I feel like I have been out of the loop for too long.", That is so terrible. I hope it goes smoothly! , I hope so. I'm glad you have a good job. , It's good to have a friend to do that. , I'm sure it will be a good one. 
I accidentally dropped a dumbell on my toe at the gym. I felt so stupid.,disgusted,Did it hurt though,Yeah it hurt and I was listening to music so I might have yelled a cuss word loudly., I was really mad at the dog. ,, It was a dent , I was so upset. I was very upset. 
my friends post made me disgusted,disgusted,"oh man it was so nasty , i did not think that was a thing",I cannot imagine anyone wanting to drink that without losing a bet, I would have done the same. I am so mad at the police. ," I did not get to the store, but there was a $100 card in a house that I have ever done. "," I know, but it was not too bad for me. ", yea i was quite angry 
My younger brother got an amazing job.,annoyed,"Right, you should! Remember they arent making any more land!",Im taking your advice and putting it into practice tomorrow!, That's so sweet! I bet they are so happy. , I'm so happy for you! ," Yes, I think they are not good anymore. ", I agree. I'm glad you're ok with that. 
I lost my favorite bracelet a few days ago... I have looked everywhere,disappointed,"I'm sorry, I hope you find it.","Thank you, the bracelet means a lot to me", I hope you do well on the test. ,, What is ok? , I can't imagine that. I am glad I can't afford it. 
My husband left me.,disappointed,"My husband left me, I have no one.",How terrible! I'm so sorry that happened. How long ago was it?, Oh that's great.  I'm glad you are there to have a lot of work to do. , I am sure he will be able to see her soon. , That is really nice of him. You guys must be very proud of yourself! , I hope you can get it. 
My old boss put in a good word for me at a new organization and helped me land a new job.,grateful,My boss at my old job was nice enough to put in a good word for me at a new organization and helped me land a higher paying job!,"That's awesome! It really pays not to burn bridges, you never know when someone from your past can help you out like that."," That's great! I bet you are a great person, that's so awesome! "," I know, I'm sure it will be a good job. I'm glad it goes well. ", That's great. Did you get a job? , That is nice. I hope you guys get the job. 
